Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Vehicle_condition,multiple_deliveries,Time_order_hour,Time_order_min,Time_order_picked_hour,Time_order_picked_min,Weather_conditions,Road_traffic_density,Festival,City,Time_taken (min)
17709,28.0,4.6,12.316967,76.603067,12.336967,76.623067,2,1.0,0.416666667,35.0,10.0,10.0,Fog,Low,No,Metropolitian,15
6499,22.0,4.6,22.744648,75.894377,22.764648,75.914377,2,0.0,10.0,10.0,10.0,20.0,Sandstorms,Low,No,Urban,14
32220,29.0,4.9,26.90294,75.793007,26.98294,75.873007,2,0.0,21.0,10.0,21.0,20.0,Sandstorms,Jam,No,Metropolitian,18
8809,39.0,4.7,15.556561,73.763633,15.666561,73.873633,1,1.0,22.0,20.0,22.0,35.0,Windy,Low,No,Metropolitian,19
21658,24.0,4.6,10.994136,76.963303,11.124136,77.093303,1,1.0,22.0,25.0,22.0,40.0,Stormy,Low,No,Urban,15
5555,25.0,4.5,30.362686,78.06889,30.402686,78.10889,1,1.0,15.0,35.0,15.0,45.0,Stormy,Medium,No,Metropolitian,20
15700,34.0,5.0,0.0,0.0,0.05,0.05,1,1.0,23.0,40.0,23.0,45.0,Windy,Low,No,Metropolitian,28
15518,28.0,4.7,17.429585,78.392621,17.499585,78.462621,2,1.0,23.0,15.0,23.0,25.0,Fog,Low,No,Metropolitian,28
18459,27.0,4.6,11.025083,77.015393,11.075083,77.065393,2,1.0,18.0,25.0,18.0,40.0,Stormy,Medium,No,Urban,20
36475,39.0,3.5,12.934179,77.615797,13.044179,77.725797,2,1.0,22.0,35.0,22.0,50.0,Cloudy,Low,No,Urban,32
20074,21.0,4.6,22.745049,75.892471,22.795049,75.942471,0,1.0,17.0,40.0,17.0,45.0,Sunny,Medium,No,Metropolitian,22
17,35.0,4.3,21.160522,72.771477,21.250522,72.861477,1,0.0,23.0,20.0,23.0,30.0,Cloudy,Low,No,Metropolitian,38
5978,20.0,4.7,17.450851,78.379347,17.500851,78.429347,0,1.0,21.0,35.0,21.0,45.0,Sandstorms,Jam,No,Metropolitian,33
1588,35.0,4.5,21.15276,72.778059,21.18276,72.808059,1,1.0,22.0,55.0,23.0,10.0,Sandstorms,Low,No,Metropolitian,28
36562,21.0,4.9,26.913987,75.752891,27.023987,75.862891,2,1.0,18.0,15.0,18.0,30.0,Stormy,Medium,No,Metropolitian,25
4094,34.0,3.5,0.0,0.0,0.07,0.07,1,0.0,23.0,20.0,23.0,30.0,Fog,Low,No,Urban,39
3235,28.0,5.0,17.426228,78.407495,17.466228,78.447495,1,0.0,12.0,50.0,13.0,5.0,Sunny,High,No,Urban,11
5584,39.0,3.5,17.422819,78.449578,17.502819,78.529578,1,0.0,20.0,20.0,20.0,30.0,Stormy,Jam,No,Urban,33
12131,29.0,4.6,23.211529,77.419399,23.341529,77.549399,0,2.0,21.0,15.0,21.0,30.0,Fog,Jam,No,Metropolitian,45
31653,22.0,4.9,17.458998,78.500366,17.488998,78.530366,0,1.0,17.0,15.0,17.0,30.0,Fog,Medium,No,Metropolitian,23
9139,30.0,4.9,18.51421,73.838429,18.58421,73.908429,0,1.0,22.0,40.0,22.0,50.0,Windy,Low,No,Metropolitian,22
7628,28.0,4.9,13.022394,80.242439,13.112394,80.332439,2,1.0,17.0,15.0,17.0,20.0,Sunny,Medium,No,Urban,18
24132,39.0,4.8,0.0,0.0,0.04,0.04,2,1.0,15.0,15.0,15.0,25.0,Stormy,Medium,No,Metropolitian,29
11817,26.0,4.6,22.728163,75.884212,22.808163,75.964212,2,1.0,19.0,35.0,19.0,45.0,Windy,Jam,No,Metropolitian,24
5696,26.0,4.7,23.374989,85.335486,23.424989,85.385486,1,0.0,23.0,25.0,23.0,40.0,Cloudy,Low,No,Metropolitian,12
